Name of the show,FEIF ID,Age & Gender,Total,Total w/o pace,Year of a show,Name,Name of the farm (stud),Colour code,Colour,Sire´s FEIF ID,Sire Freq,Name,Name of the farm (stud),Dam´s FEIF ID,Dam Freq,Name,Name of the farm (stud)
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018101038,6-year old stallions,8.56,8.68,2024,Agnar,Margrétarhofi,1500,Rauður,IS2009135006,23,Ölnir,Akranesi,IS2011264068,4,Garún,Garðshorni á Þelamörk
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018165656,6-year old stallions,8.56,8.5,2024,Muninn,Litla-Garði,1500,Rauður,IS2009101044,37,Skaginn,Skipaskaga,IS2008265653,3,Mirra,Litla-Garði
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018236937,6-year old mares,8.53,8.64,2024,Sunna,Haukagili Hvítársíðu,1220,Rauðstjörnótt,IS2000135815,8,Sólon,Skáney,IS2002256286,3,Katla,Steinnesi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2015225435,7-year and older mares,8.52,8.42,2024,Sandra,Þúfu í Kjós,1540,Rauðtvístjörnótt.,IS2007187018,7,Toppur,Auðsholtshjáleigu,IS1996225036,2,Folda,Þúfu í Kjós
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018277787,6-year old mares,8.5,8.45,2024,Hetja,Hofi I,6400,,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2006277791,3,Gifting,Hofi I
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020186644,4-year old stallions,8.48,8.57,2024,Dalvar,Efsta-Seli,2500,Brúnn,IS2013164067,30,Adrían,Garðshorni á Þelamörk,IS2015286645,2,Lóa,Efsta-Seli
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016101046,7-year and older stallions,8.47,8.38,2024,Skyggnir,Skipaskaga,1520,Rauðstjörnóttur,IS2007184162,91,Skýr,Skálakoti,IS2004235026,3,Skynjun,Skipaskaga
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018280719,6-year old mares,8.47,8.88,2024,Valbjörk,Valstrýtu,1500,Rauð,IS2010180716,14,Ljósvaki,Valstrýtu,IS2002288471,2,Snót,Fellskoti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017281815,7-year and older mares,8.44,8.5,2024,Pandóra,Þjóðólfshaga 1,2500,Brún,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS1994225041,2,Pyttla,Flekkudal
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019186817,5-year old stallions,8.44,8.54,2024,Reginn,Lunansholti III,2710,Svartskjóttur.,IS2010180716,14,Ljósvaki,Valstrýtu,IS2009286828,2,Gola,Hjallanesi II
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019201856,5-year old mares,8.42,8.4,2024,Ramóna,Heljardal,2120,Glóbrún stjörnótt,IS2011187105,50,Draupnir,Stuðlum,IS2001258596,3,Auður,Hofi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018236750,6-year old mares,8.41,8.28,2024,Væta,Leirulæk,6420,,IS2010156107,25,Konsert,Hofi,IS2010236751,6,Gnýpa,Leirulæk
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018238376,6-year old mares,8.41,8.35,2024,María,Vatni,1520,Rauðstjörnótt.,IS2004156286,32,Kiljan,Steinnesi,IS2006238377,2,Hrefna,Vatni
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018287199,6-year old mares,8.39,8.78,2024,Rauðhetta,Þorlákshöfn,1510,"Rauðskjótt, blesótt.",IS2013182365,13,Ísak,Þjórsárbakka,IS2008287198,2,Sending,Þorlákshöfn
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018201900,6-year old mares,8.38,8.31,2024,Spönn,Örk,3500,Jörp.,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2005281511,2,Hnota,Koltursey
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018225112,6-year old mares,8.35,8.44,2024,Gráða,Dallandi,1520,,IS2010125110,11,Glúmur,Dallandi,IS2006225109,6,Gróska,Dallandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018282370,6-year old mares,8.35,8.34,2024,Dama,Hólaborg,2200,Móbrún,IS2011187105,50,Draupnir,Stuðlum,IS1999286184,4,Vænting,Bakkakoti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020165600,4-year old stallions,8.35,8.74,2024,Miðill,Hrafnagili,2500,,IS2002136409,5,Auður,Lundum II,IS2004265228,2,Gígja,Búlandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017286184,7-year and older mares,8.34,8.33,2024,Gletta,Eystra-Fróðholti,2500,Brún,IS1997186183,9,Sær,Bakkakoti,IS1995286176,3,Gletta,Bakkakoti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019101356,5-year old stallions,8.34,8.72,2024,Hávar,Óskarshóli,1540,Rauðtvístjörnóttur,IS2013157651,6,Sigur,Stóra-Vatnsskarði,IS2010280603,1,Hátíð,Hemlu II
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019282370,5-year old mares,8.3,8.4,2024,Rut,Hólaborg,2500,Brún.,IS2011187105,50,Draupnir,Stuðlum,IS2005255184,4,Rán,Þorkelshóli 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019101178,5-year old stallions,8.3,8.68,2024,Hinrik,Hásæti,1540,"Rauðtvístjörnóttur, hálfblesóttur.",IS2010182570,20,Herkúles,Ragnheiðarstöðum,IS2002284676,4,Maístjarna,Forsæti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018236940,6-year old mares,8.28,8.29,2024,Viska,Haukagili Hvítársíðu,2700,Svört,IS2010135610,3,Sproti,Innri-Skeljabrekku,IS2009255412,3,Vitrun,Grafarkoti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019286072,5-year old mares,8.28,8.65,2024,Frökk,Árbakka,2500,Brún,IS2012188095,52,Kveikur,Stangarlæk 1,IS2006286093,2,Flétta,Árbakka
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017282274,7-year and older mares,8.28,8.18,2024,Björk,Þorlákshöfn,2500,Brúnn,IS2013187197,1,Glæsir,Þorlákshöfn,IS2008287592,1,Þruma,Litlu-Sandvík
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018201041,6-year old mares,8.27,8.29,2024,Snekkja,Skipaskaga,3500,,IS2009101044,37,Skaginn,Skipaskaga,IS2007201045,5,Viska,Skipaskaga
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017187936,7-year and older stallions,8.27,8.24,2024,Ari,Votumýri 2,1500,Rauður,IS2009101044,37,Skaginn,Skipaskaga,IS2000276180,3,Önn,Ketilsstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018258165,6-year old mares,8.27,8.67,2024,Vala,Þúfum,1590,Rauðblesótt m. leist á vinstri afturfæti og svartan blett í miðri blesu.,IS2005135936,16,Trymbill,Stóra-Ási,IS2009257299,1,Völva,Breiðstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2014258700,7-year and older mares,8.26,8.23,2024,Snælda,Dýrfinnustöðum,1520,,IS1997158469,7,Hágangur,Narfastöðum,IS2000258510,1,List,Vatnsleysu
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2015201671,7-year and older mares,8.25,8.3,2024,Inda,Báru,3700,Dökkjörp.,IS2007186189,22,Arion,Eystra-Fróðholti,IS1995267140,2,Blíða,Flögu
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018287572,6-year old mares,8.24,8.43,2024,List,Austurási,1551,"Rauðblesótt, glófext.",IS2011187105,50,Draupnir,Stuðlum,IS2001287702,1,Spóla,Syðri-Gegnishólum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018265105,6-year old mares,8.23,8.43,2024,Ímynd,Litla-Dal,7200,,IS2012137485,10,Sægrímur,Bergi,IS2007265101,3,Mynd,Litla-Dal
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018158958,6-year old stallions,8.23,8.14,2024,Kolfinnur,Egilsá,2520,Brúnstjörnóttur,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2007281430,2,Urður,Ásmundarstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019165338,5-year old stallions,8.23,8.26,2024,Kristall,Jarðbrú,1501,Rauðglófextur,IS2004156286,32,Kiljan,Steinnesi,IS2002238596,1,Gleði,Svarfhóli
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016184717,7-year and older stallions,8.23,8.19,2024,Baltasar,Brekkum,1590,Rauðblesóttur m. leist á vinstri afturfæti.,IS2009135006,23,Ölnir,Akranesi,IS1992286710,1,Spönn,Árbakka
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018287074,6-year old mares,8.22,8.29,2024,Nett,Völlum,2500,Brún,IS2011187660,3,Álfgrímur,Syðri-Gegnishólum,IS2003281797,1,Njála,Fellsmúla
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019180916,5-year old stallions,8.21,8.57,2024,Sólmyrkvi,Garði,2700,,IS2012188095,52,Kveikur,Stangarlæk 1,IS2011225150,2,Sól,Mosfellsbæ
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018286437,6-year old mares,8.21,8.28,2024,Salka,Hólsbakka,1500,Rauð,IS2010181398,4,Roði,Lyngholti,IS2007286441,2,Snót,Búð 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018225113,6-year old mares,8.19,8.56,2024,Hekla,Dallandi,1220,"Ljósrauð, stjörnótt.",IS2010125110,11,Glúmur,Dallandi,IS2010225109,2,Tekla,Dallandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016256460,7-year and older mares,8.18,8.25,2024,Engey,Hæli,2500,,IS2009101044,37,Skaginn,Skipaskaga,IS1997256470,1,Nóta,Blönduósi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019225109,5-year old mares,8.17,8.35,2024,Tign,Dallandi,2500,brún,IS2010157801,3,Nátthrafn,Varmalæk,IS2010225109,2,Tekla,Dallandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018201472,6-year old mares,8.17,8.54,2024,Hressing,Þingbrekku,2220,,IS2011135727,21,Forkur,Breiðabólsstað,IS2002225135,1,Stemmning,Seljabrekku
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018235466,6-year old mares,8.17,8.54,2024,Alfa,Vestri-Leirárgörðum,7500,Móálótt,IS2013186682,2,Haukur,Skeiðvöllum,IS2006235467,1,Narnía,Vestri-Leirárgörðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019286184,5-year old mares,8.16,8.29,2024,Sparta,Eystra-Fróðholti,3400,Rauðjörp,IS2011188560,6,Rauðskeggur,Kjarnholtum I,IS2006286178,3,Spá,Eystra-Fróðholti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018125326,6-year old stallions,8.16,8.17,2024,Runi,Reykjavík,1520,Rauðstjörnóttur,IS2013186003,3,Þór,Stóra-Hofi,IS1999284945,2,Sandra,Markaskarði
